Date,USD
2009/12/16,1324.6
9/13/16,1323.65
9/14/16,1321.75
9/15/16,1310.8
9/16/16,1308.35
9/19/16,1314.85
9/20/16,1313.8
9/21/16,1326.1
9/22/16,1339.1
9/23/16,1338.65
9/26/16,1340.5
9/27/16,1327
9/28/16,1322.5
9/29/16,1318.1
9/30/16,1322.5
2010/3/16,1313.3
2010/4/16,1283.3
2010/5/16,1269.4
2010/6/16,1254.5
2010/7/16,1258.75
2010/10/16,1259.5
2010/11/16,1253.45
2010/12/16,1256.5
10/13/16,1261.05
10/14/16,1251.75
10/17/16,1254.8
10/18/16,1258.2
10/19/16,1269.05
10/20/16,1271.65
10/21/16,1266.05
10/24/16,1265.55
10/25/16,1269.4
10/26/16,1270.5
10/27/16,1266.25
10/28/16,1273
10/31/16,1272
2011/1/16,1288.45
2011/2/16,1303.75
2011/3/16,1301
2011/4/16,1302.8
2011/7/16,1283.05
2011/8/16,1282.35
2011/9/16,1281.4
2011/10/16,1267.5
2011/11/16,1236.45
11/14/16,1213.6
11/15/16,1226.95
11/16/16,1229.2
11/17/16,1226.75
11/18/16,1211
11/21/16,1214.25
11/22/16,1212.25
11/23/16,1185.35
11/24/16,1186.1
11/25/16,1187.7
11/28/16,1187
11/29/16,1186.55
11/30/16,1178.1
2012/1/16,1161.85
2012/2/16,1173.5
2012/5/16,1162.2
2012/6/16,1172.5
2012/7/16,1177.65
2012/8/16,1171.05
2012/9/16,1163.6
2012/12/16,1156.1
12/13/16,1158.55
12/14/16,1162.25
12/15/16,1126.95
12/16/16,1131.6
12/19/16,1136.25
12/20/16,1125.7
12/21/16,1133.65
12/22/16,1131.35
12/23/16,1133
12/28/16,1134.6
12/29/16,1145.9
12/30/16,1149
2001/3/17,1151
2001/4/17,1164.25
2001/5/17,1176.7
2001/6/17,1175.85
2001/9/17,1178.5
2001/10/17,1189.5
2001/11/17,1178.55
2001/12/17,1205.05
1/13/17,1190.35
1/16/17,1203
1/17/17,1216.05
1/18/17,1214.75
1/19/17,1196.05
1/20/17,1200.55
1/23/17,1212.85
1/24/17,1216.8
1/25/17,1195
1/26/17,1189.7
1/27/17,1184.85
1/30/17,1192.8
1/31/17,1212.8
2002/1/17,1203.65
2002/2/17,1221.95
2002/3/17,1215.2
2002/6/17,1226.75
2002/7/17,1231
2002/8/17,1242.1
2002/9/17,1236.8
2002/10/17,1228.3
2/13/17,1222.25
2/14/17,1230.75
2/15/17,1224.4
2/16/17,1240.55
2/17/17,1241.95
2/20/17,1237.3
2/21/17,1233.2
2/22/17,1236.65
2/23/17,1247.9
2/24/17,1253.65
2/27/17,1257.2
2/28/17,1255.6
2003/1/17,1240.4
2003/2/17,1238.1
2003/3/17,1226.5
2003/6/17,1230.95
2003/7/17,1216.65
2003/8/17,1209.2
